"id","label","from","to","questionaireID","groupID","created_at","updated_at"
43,"ปกติ",0,16,36,NULL,"2016-05-22 11:08:41","2016-05-22 11:12:22"
44,"เสี่ยง",17,18,36,NULL,"2016-05-22 11:12:22","2016-05-22 11:12:22"
45,"มีปัญหา",19,40,36,NULL,"2016-05-22 11:12:22","2016-05-22 11:12:22"
46,"ปกติ",0,3,36,11,"2016-05-28 07:52:27","2016-05-28 07:52:27"
47,"เสี่ยง",4,4,36,11,"2016-05-28 07:52:32","2016-05-28 07:52:32"
48,"มีปัญหา",5,10,36,11,"2016-05-28 07:52:38","2016-05-28 07:52:38"
49,"ปกติ",0,5,36,10,"2016-05-28 07:53:24","2016-05-28 07:53:24"
50,"เสี่ยง",6,6,36,10,"2016-05-28 07:53:34","2016-05-28 07:53:34"
51,"มีปัญหา",7,10,36,10,"2016-05-28 07:53:40","2016-05-28 07:53:40"
52,"ปกติ",0,4,36,9,"2016-05-28 07:54:49","2016-05-28 07:54:49"
53,"เสี่ยง",5,5,36,9,"2016-05-28 07:54:57","2016-05-28 07:54:57"
54,"มีปัญหา",6,10,36,9,"2016-05-28 07:55:02","2016-05-28 07:55:02"
55,"ปกติ",0,5,36,7,"2016-05-28 07:56:28","2016-05-28 07:56:28"
56,"เสี่ยง",6,6,36,7,"2016-05-28 07:56:36","2016-05-28 07:56:36"
57,"มีปัญหา",7,10,36,7,"2016-05-28 07:56:42","2016-05-28 07:56:42"
58,"เป็นจุดแข็ง",4,10,36,12,"2016-05-28 11:40:23","2016-05-28 11:40:23"
59,"ไม่มีจุดแข็ง",0,3,36,12,"2016-05-28 11:40:54","2016-05-28 11:40:54"
74,"ปกติ",0,16,37,NULL,"2016-05-22 11:08:41","2016-05-22 11:12:22"
75,"เสี่ยง",17,18,37,NULL,"2016-05-22 11:12:22","2016-05-22 11:12:22"
76,"มีปัญหา",19,40,37,NULL,"2016-05-22 11:12:22","2016-05-22 11:12:22"
77,"ปกติ",0,3,37,17,"2016-05-28 07:52:27","2016-05-28 07:52:27"
78,"เสี่ยง",4,4,37,17,"2016-05-28 07:52:32","2016-05-28 07:52:32"
79,"มีปัญหา",5,10,37,17,"2016-05-28 07:52:38","2016-05-28 07:52:38"
80,"ปกติ",0,5,37,16,"2016-05-28 07:53:24","2016-05-28 07:53:24"
81,"เสี่ยง",6,6,37,16,"2016-05-28 07:53:34","2016-05-28 07:53:34"
82,"มีปัญหา",7,10,37,16,"2016-05-28 07:53:40","2016-05-28 07:53:40"
83,"ปกติ",0,4,37,15,"2016-05-28 07:54:49","2016-05-28 07:54:49"
84,"เสี่ยง",5,5,37,15,"2016-05-28 07:54:57","2016-05-28 07:54:57"
85,"มีปัญหา",6,10,37,15,"2016-05-28 07:55:02","2016-05-28 07:55:02"
86,"ปกติ",0,5,37,13,"2016-05-28 07:56:28","2016-05-28 07:56:28"
87,"เสี่ยง",6,6,37,13,"2016-05-28 07:56:36","2016-05-28 07:56:36"
88,"มีปัญหา",7,10,37,13,"2016-05-28 07:56:42","2016-05-28 07:56:42"
89,"เป็นจุดแข็ง",4,10,37,18,"2016-05-28 11:40:23","2016-05-28 11:40:23"
90,"ไม่มีจุดแข็ง",0,3,37,18,"2016-05-28 11:40:54","2016-05-28 11:40:54"
